name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
Doab and Industrial Heritage,india/north-india/uttar-pradesh/doab-and-industrial-heritage,region,india/north-india/uttar-pradesh,India,,domestic,true,true,"Kanpur, Etawah, Farrukhabad, Kannauj, Aligarh and middle-Ganga industrial and craft cities.",,,,,,,,,,,,,,https://www.uptourism.gov.in/
Lucknow District,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district,region,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Lucknow.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Ayodhya District,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district,region,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Ayodhya.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Barabanki District,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/barabanki-district,region,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Barabanki.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Sitapur District,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sitapur-district,region,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Sitapur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Hardoi District,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/hardoi-district,region,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Hardoi.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Sultanpur District,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/sultanpur-district,region,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Sultanpur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Amethi District,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/amethi-district,region,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Amethi.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Rae Bareli District,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/rae-bareli-district,region,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Rae Bareli.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Agra District,india/north-india/uttar-pradesh/braj-and-agra-region/agra-district,region,india/north-india/uttar-pradesh/braj-and-agra-region,India,,domestic,true,true,Tourism catalog region for Agra.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Mathura District,india/north-india/uttar-pradesh/braj-and-agra-region/mathura-district,region,india/north-india/uttar-pradesh/braj-and-agra-region,India,,domestic,true,true,Tourism catalog region for Mathura.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Firozabad District,india/north-india/uttar-pradesh/braj-and-agra-region/firozabad-district,region,india/north-india/uttar-pradesh/braj-and-agra-region,India,,domestic,true,true,Tourism catalog region for Firozabad.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Mainpuri District,india/north-india/uttar-pradesh/braj-and-agra-region/mainpuri-district,region,india/north-india/uttar-pradesh/braj-and-agra-region,India,,domestic,true,true,Tourism catalog region for Mainpuri.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Etah District,india/north-india/uttar-pradesh/braj-and-agra-region/etah-district,region,india/north-india/uttar-pradesh/braj-and-agra-region,India,,domestic,true,true,Tourism catalog region for Etah.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Varanasi District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/varanasi-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Varanasi.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Mirzapur District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/mirzapur-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Mirzapur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Sonbhadra District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/sonbhadra-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Sonbhadra.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Jaunpur District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/jaunpur-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Jaunpur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Ghazipur District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/ghazipur-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Ghazipur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Azamgarh District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/azamgarh-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Azamgarh.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Mau District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/mau-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Mau.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Ballia District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/ballia-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Ballia.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Gorakhpur District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/gorakhpur-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Gorakhpur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Deoria District,india/north-india/uttar-pradesh/varanasi-and-purvanchal/deoria-district,region,india/north-india/uttar-pradesh/varanasi-and-purvanchal,India,,domestic,true,true,Tourism catalog region for Deoria.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Kushinagar District,india/north-india/uttar-pradesh/buddhist-circuit/kushinagar-district,region,india/north-india/uttar-pradesh/buddhist-circuit,India,,domestic,true,true,Tourism catalog region for Kushinagar.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Shravasti District,india/north-india/uttar-pradesh/buddhist-circuit/shravasti-district,region,india/north-india/uttar-pradesh/buddhist-circuit,India,,domestic,true,true,Tourism catalog region for Shravasti.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Siddharthnagar District,india/north-india/uttar-pradesh/buddhist-circuit/siddharthnagar-district,region,india/north-india/uttar-pradesh/buddhist-circuit,India,,domestic,true,true,Tourism catalog region for Siddharthnagar.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Farrukhabad District,india/north-india/uttar-pradesh/buddhist-circuit/farrukhabad-district,region,india/north-india/uttar-pradesh/buddhist-circuit,India,,domestic,true,true,Tourism catalog region for Farrukhabad.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Prayagraj District,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand/prayagraj-district,region,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand,India,,domestic,true,true,Tourism catalog region for Prayagraj.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Chitrakoot District,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand/chitrakoot-district,region,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand,India,,domestic,true,true,Tourism catalog region for Chitrakoot.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Jhansi District,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand/jhansi-district,region,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand,India,,domestic,true,true,Tourism catalog region for Jhansi.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Lalitpur District,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand/lalitpur-district,region,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand,India,,domestic,true,true,Tourism catalog region for Lalitpur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Mahoba District,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand/mahoba-district,region,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand,India,,domestic,true,true,Tourism catalog region for Mahoba.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Banda District,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand/banda-district,region,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand,India,,domestic,true,true,Tourism catalog region for Banda.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Hamirpur District,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand/hamirpur-district,region,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand,India,,domestic,true,true,Tourism catalog region for Hamirpur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Jalaun District,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand/jalaun-district,region,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand,India,,domestic,true,true,Tourism catalog region for Jalaun.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Meerut District,india/north-india/uttar-pradesh/western-uttar-pradesh/meerut-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Meerut.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Ghaziabad District,india/north-india/uttar-pradesh/western-uttar-pradesh/ghaziabad-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Ghaziabad.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Gautam Buddha Nagar District,india/north-india/uttar-pradesh/western-uttar-pradesh/gautam-buddha-nagar-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Gautam Buddha Nagar.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Saharanpur District,india/north-india/uttar-pradesh/western-uttar-pradesh/saharanpur-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Saharanpur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Muzaffarnagar District,india/north-india/uttar-pradesh/western-uttar-pradesh/muzaffarnagar-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Muzaffarnagar.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Bijnor District,india/north-india/uttar-pradesh/western-uttar-pradesh/bijnor-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Bijnor.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Bulandshahr District,india/north-india/uttar-pradesh/western-uttar-pradesh/bulandshahr-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Bulandshahr.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Baghpat District,india/north-india/uttar-pradesh/western-uttar-pradesh/baghpat-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Baghpat.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Hapur District,india/north-india/uttar-pradesh/western-uttar-pradesh/hapur-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Hapur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Moradabad District,india/north-india/uttar-pradesh/western-uttar-pradesh/moradabad-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Moradabad.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Rampur District,india/north-india/uttar-pradesh/western-uttar-pradesh/rampur-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Rampur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Amroha District,india/north-india/uttar-pradesh/western-uttar-pradesh/amroha-district,region,india/north-india/uttar-pradesh/western-uttar-pradesh,India,,domestic,true,true,Tourism catalog region for Amroha.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Bareilly District,india/north-india/uttar-pradesh/rohilkhand-and-terai/bareilly-district,region,india/north-india/uttar-pradesh/rohilkhand-and-terai,India,,domestic,true,true,Tourism catalog region for Bareilly.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Pilibhit District,india/north-india/uttar-pradesh/rohilkhand-and-terai/pilibhit-district,region,india/north-india/uttar-pradesh/rohilkhand-and-terai,India,,domestic,true,true,Tourism catalog region for Pilibhit.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Lakhimpur Kheri District,india/north-india/uttar-pradesh/rohilkhand-and-terai/lakhimpur-kheri-district,region,india/north-india/uttar-pradesh/rohilkhand-and-terai,India,,domestic,true,true,Tourism catalog region for Lakhimpur Kheri.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Bahraich District,india/north-india/uttar-pradesh/rohilkhand-and-terai/bahraich-district,region,india/north-india/uttar-pradesh/rohilkhand-and-terai,India,,domestic,true,true,Tourism catalog region for Bahraich.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Shahjahanpur District,india/north-india/uttar-pradesh/rohilkhand-and-terai/shahjahanpur-district,region,india/north-india/uttar-pradesh/rohilkhand-and-terai,India,,domestic,true,true,Tourism catalog region for Shahjahanpur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Balrampur District,india/north-india/uttar-pradesh/rohilkhand-and-terai/balrampur-district,region,india/north-india/uttar-pradesh/rohilkhand-and-terai,India,,domestic,true,true,Tourism catalog region for Balrampur.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Kanpur Nagar District,india/north-india/uttar-pradesh/doab-and-industrial-heritage/kanpur-nagar-district,region,india/north-india/uttar-pradesh/doab-and-industrial-heritage,India,,domestic,true,true,Tourism catalog region for Kanpur Nagar.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Kanpur Dehat District,india/north-india/uttar-pradesh/doab-and-industrial-heritage/kanpur-dehat-district,region,india/north-india/uttar-pradesh/doab-and-industrial-heritage,India,,domestic,true,true,Tourism catalog region for Kanpur Dehat.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Etawah District,india/north-india/uttar-pradesh/doab-and-industrial-heritage/etawah-district,region,india/north-india/uttar-pradesh/doab-and-industrial-heritage,India,,domestic,true,true,Tourism catalog region for Etawah.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Kannauj District,india/north-india/uttar-pradesh/doab-and-industrial-heritage/kannauj-district,region,india/north-india/uttar-pradesh/doab-and-industrial-heritage,India,,domestic,true,true,Tourism catalog region for Kannauj.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Aligarh District,india/north-india/uttar-pradesh/doab-and-industrial-heritage/aligarh-district,region,india/north-india/uttar-pradesh/doab-and-industrial-heritage,India,,domestic,true,true,Tourism catalog region for Aligarh.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Auraiya District,india/north-india/uttar-pradesh/doab-and-industrial-heritage/auraiya-district,region,india/north-india/uttar-pradesh/doab-and-industrial-heritage,India,,domestic,true,true,Tourism catalog region for Auraiya.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Lucknow,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,city,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district,India,,domestic,true,true,"Capital of Uttar Pradesh, renowned for Nawabi architecture, cuisine, gardens and cultural heritage.",26.8467,80.9462,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Bara Imambara,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/bara-imambara,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Monumental Shia congregation complex built by Asaf-ud-Daula.,,,,150,,,heritage|architecture,,,,,,,https://www.uptourism.gov.in/
Bhool Bhulaiya,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/bhool-bhulaiya,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Labyrinth within Bara Imambara.,,,,60,,,architecture|family,,,,,,,https://www.uptourism.gov.in/
Chota Imambara,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/chota-imambara,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Ornate Shia monument known for chandeliers and decorative interiors.,,,,90,,,heritage|religious,,,,,,,https://www.uptourism.gov.in/
Rumi Darwaza,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/rumi-darwaza,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Iconic monumental gateway of Lucknow.,,,,45,,,architecture|photography,,,,,,,https://www.uptourism.gov.in/
British Residency,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/british-residency,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Ruins and museum associated with the 1857 uprising.,,,,120,,,ruins|history,,,,,,,https://www.uptourism.gov.in/
Husainabad Clock Tower,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/husainabad-clock-tower,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Tall Victorian clock tower near the Imambara district.,,,,45,,,architecture|landmark,,,,,,,https://www.uptourism.gov.in/
Picture Gallery Lucknow,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/picture-gallery-lucknow,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Historic gallery displaying portraits of Awadh rulers.,,,,75,,,museum|art,,,,,,,https://www.uptourism.gov.in/
La Martiniere College,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/la-martiniere-college,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Historic European-style educational campus.,,,,60,,,architecture|education,,,,,,,https://www.uptourism.gov.in/
Dilkusha Kothi,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/dilkusha-kothi,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Ruins of a European-style hunting lodge.,,,,75,,,ruins|heritage,,,,,,,https://www.uptourism.gov.in/
Ambedkar Memorial Park,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/ambedkar-memorial-park,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Large monumental park and public space.,,,,120,,,memorial|architecture,,,,,,,https://www.uptourism.gov.in/
Janeshwar Mishra Park,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/janeshwar-mishra-park,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Large urban park with cycling and recreation.,,,,150,,,park|family,,,,,,,https://www.uptourism.gov.in/
Lucknow State Museum,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/lucknow-state-museum,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,"Museum of archaeology, art and natural history.",,,,120,,,museum|history,,,,,,,https://www.uptourism.gov.in/
Indira Gandhi Planetarium,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/indira-gandhi-planetarium,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Planetarium with Saturn-inspired architecture.,,,,75,,,science|family,,,,,,,https://www.uptourism.gov.in/
Chowk Market Lucknow,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/chowk-market-lucknow,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,"Old-city market known for chikankari, food and crafts.",,,,150,,,market|food|craft,,,,,,,https://www.uptourism.gov.in/
Aminabad Market,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/aminabad-market,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Historic shopping and food district.,,,,120,,,market|shopping,,,,,,,https://www.uptourism.gov.in/
Hazratganj,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/hazratganj,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Colonial-era shopping boulevard and cultural district.,,,,120,,,shopping|walking,,,,,,,https://www.uptourism.gov.in/
Chattar Manzil,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/chattar-manzil,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Historic riverside palace complex.,,,,60,,,palace|heritage,,,,,,,https://www.uptourism.gov.in/
Shah Najaf Imambara,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/shah-najaf-imambara,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Shia mausoleum inspired by Najaf's shrine.,,,,60,,,religious|architecture,,,,,,,https://www.uptourism.gov.in/
Jama Masjid Lucknow,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/jama-masjid-lucknow,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Large mosque with Indo-Islamic architecture.,,,,60,,,mosque|heritage,,,,,,,https://www.uptourism.gov.in/
Kukrail Reserve Forest,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow/kukrail-reserve-forest,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/lucknow,India,,domestic,true,true,Urban forest and crocodile conservation area.,,,,150,,,forest|wildlife,,,,,,,https://www.uptourism.gov.in/
Kakori,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/kakori,city,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district,India,,domestic,true,true,Historic town associated with the Kakori train action and mango orchards.,,,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Kakori Martyrs Memorial,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/kakori/kakori-martyrs-memorial,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/kakori,India,,domestic,true,true,Memorial to revolutionaries of the Kakori action.,,,,90,,,memorial|history,,,,,,,https://www.uptourism.gov.in/
Kakori Mango Orchards,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/kakori/kakori-mango-orchards,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/lucknow-district/kakori,India,,domestic,true,true,Traditional mango-growing landscape.,,,,90,,,orchard|food,,,,,,,https://www.uptourism.gov.in/
Ayodhya,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,city,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district,India,,domestic,true,true,Sacred city on the Saryu River associated with Lord Rama and Hindu pilgrimage.,26.7922,82.1998,,,October to March,,,,,,,,,https://www.uptourism.gov.in/
Shri Ram Janmabhoomi Mandir,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya/shri-ram-janmabhoomi-mandir,landmark,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh/ayodhya-district/ayodhya,India,,domestic,true,true,Major temple dedicated to Lord Rama at Ram Janmabhoomi.,,,,150,,,temple|pilgrimage,,,,,,,https://www.uptourism.gov.in/
